id,equipment_name,name,description,units,value,type,last_updated,first_updated,building_id,square_footage
205155,meter-site,,Main Power,kWh,1.83,Electric Consumption,2019-07-15 20:00:00-06:00,2018-07-16 07:00:00-07:00,220,198057.0
205627,meter-site,,Main Power,kWh,0.10,Electric Consumption,2019-07-03 20:00:00-06:00,2018-07-03 08:00:00-07:00,225,198057.0
205654,meter-site,,Main Power,kWh,0.0,Electric Consumption,2019-09-19 20:00:00-06:00,2018-09-19 21:00:00-07:00,226,144000.0
207779,meter-site,,Main Power,kWh,1.60,Electric Consumption,2019-09-08 20:00:00-06:00,2018-09-08 21:00:00-07:00,236,144000.0
208337,meter494171206620025,,494171206620025 (kWh),kWh,19.44,Electric Consumption,2019-10-09 22:00:00-06:00,2019-04-08 21:15:00-07:00,248,127000.0
208338,meter8508235,,8508235 (kWh),kWh,19.44,Electric Consumption,2019-10-09 22:00:00-06:00,2019-04-08 21:15:00-07:00,248,127000.0
208353,meter471031119000011,471031119000011 (kWh),471031119000011 (kWh),kWh,16.41,Electric Consumption,2020-06-08 10:00:00-06:00,2018-12-31 22:00:00-07:00,249,120000.0
208354,meter491721210110000-site,,491721210110000 (kWh),kWh,135.36,Electric Consumption,2019-08-25 22:00:00-06:00,2019-02-24 22:15:00-07:00,250,120721.0
208465,meter-site,,Main Power,kWh,1.36,Electric Consumption,2019-08-22 20:00:00-06:00,2018-08-22 08:00:00-07:00,252,198057.0
208485,meter-electric,,Selfhelp K6 Meters Electric Dmarc,kWh,59743.23,Electric Consumption,2019-01-15 22:45:00-06:00,2018-06-30 21:00:00-07:00,253,789079.0
210646,meter-site,,Main Power,kWh,0.35,Electric Consumption,2019-09-07 20:00:00-06:00,2018-09-07 21:00:00-07:00,260,144000.0
210766,meter-site,,Main Power,kWh,0.84,Electric Consumption,2019-11-19 21:00:00-06:00,2018-11-21 09:00:00-07:00,264,144000.0
210781,Site-Sensor,,Whole Building (AcquiLite),kWh,11.0,Electric Consumption,2020-05-04 22:00:01-06:00,2019-09-23 21:00:00-07:00,265,
211113,meter-site,,Main Power,kWh,6.38,Electric Consumption,2019-09-19 20:00:00-06:00,2018-09-19 21:00:00-07:00,274,144000.0
211154,meterA,,Switchboard A Consumption_value,kWh,2516.0,Electric Consumption,2020-04-29 21:45:00-06:00,2019-10-28 21:00:00-07:00,275,522000.0
211155,meterB,,Switchboard B Consumption_value,kWh,5972.0,Electric Consumption,2020-04-29 21:45:00-06:00,2019-10-28 21:00:00-07:00,275,522000.0
211156,meterC,,Switchboard C Consumption_value,kWh,6014.0,Electric Consumption,2020-04-29 21:45:00-06:00,2019-10-28 21:00:00-07:00,275,522000.0
211157,meterD,,Switchboard D Consumption_value,kWh,20038.0,Electric Consumption,2020-04-29 21:45:00-06:00,2019-10-28 21:00:00-07:00,275,522000.0
212120,meter-site,,Main Power,kWh,1.00,Electric Consumption,2019-07-16 20:00:00-06:00,2018-07-16 10:00:00-07:00,277,198057.0
212704,Site-Sensor,,Main Power,kWh,22723.0,Electric Consumption,2019-10-02 07:00:00-06:00,2017-12-19 14:00:00-07:00,282,56000.0
212872,meter-site,,Main Power,kWh,1.75,Electric Consumption,2019-08-22 20:00:00-06:00,2018-08-22 07:00:00-07:00,285,198057.0
215046,meter-site,,Main Power,kWh,0.0,Electric Consumption,2019-09-09 20:00:00-06:00,2018-09-09 21:00:00-07:00,294,144000.0
215141,meter-site,,Main Power,kWh,1.82,Electric Consumption,2019-07-15 20:00:00-06:00,2018-07-16 07:00:00-07:00,297,198057.0
216705,Site-Sensor,,Main Power,kWh,11204.0,Electric Consumption,2019-10-01 06:00:00-06:00,2017-12-18 11:00:00-07:00,307,56000.0
217125,meter-site,,Main Power,kWh,2.9,Electric Consumption,2019-03-21 20:00:00-06:00,2017-03-22 09:00:00-07:00,316,144000.0
217126,meter-site,,Main Power.1,kWh,2.88,Electric Consumption,2019-03-21 20:00:00-06:00,2017-03-22 09:00:00-07:00,316,144000.0
217127,meter-site,,Main Power.2,kWh,2.58,Electric Consumption,2019-03-21 20:00:00-06:00,2017-03-22 09:00:00-07:00,316,144000.0
219335,meter-site,,Main Power,kWh,4.53,Electric Consumption,2019-07-16 20:00:00-06:00,2018-07-16 09:00:00-07:00,322,198057.0
220537,meter-site,,Main Power,kWh,0.49,Electric Consumption,2019-08-21 20:00:00-06:00,2018-08-22 08:00:00-07:00,327,198057.0
220681,meter-433203206800010,,433203206800010 (kWh),kWh,27.24,Electric Consumption,2020-02-04 11:00:00-06:00,2019-08-24 21:15:00-07:00,332,120000.0
220682,meter-8939324,,8939324 (kWh),kWh,25.56,Electric Consumption,2020-02-24 12:15:00-06:00,2019-08-24 21:15:00-07:00,332,120000.0
221848,meter-site,,Main Power,kWh,1.82,Electric Consumption,2019-07-15 20:00:00-06:00,2018-07-16 07:00:00-07:00,350,198057.0
221922,meter-site,,Main Power,kWh,1.70,Electric Consumption,2019-07-03 20:00:00-06:00,2018-07-03 08:00:00-07:00,353,198057.0
227152,meter-site,,Main Power,kWh,0.77,Electric Consumption,2019-07-16 20:00:00-06:00,2018-07-16 10:00:00-07:00,372,198057.0
386645,elecMeter-425119007710002,425119007710002 (kWh),,kWh,25.44,Electric Consumption,2020-06-01 12:15:00-06:00,2019-11-29 22:15:00-07:00,373,127577.0
227890,Site-Sensor,,Main Power,kWh,22330.0,Electric Consumption,2019-10-02 07:00:00-06:00,2017-12-01 13:00:00-07:00,380,56000.0
228645,meter-site,,Main,kWh,0.13,Electric Consumption,2019-12-03 21:00:00-06:00,2018-12-03 14:00:00-07:00,386,198057.0
229786,meter-site,,Whole Building (AcquiLite)_kWh,kWh,0.8,Electric Consumption,2020-02-29 22:59:00-06:00,2019-04-30 21:00:00-07:00,390,8500.0
230058,elecMeter-site,Main Meter_v0,Main Meter_v0,kWh,178.20,Electric Consumption,2020-05-15 02:45:00-06:00,2019-07-31 21:00:00-07:00,393,1100000.0
230059,elecMeter-site,Main Meter_v1,Main Meter_v1,kWh,211.92,Electric Consumption,2020-07-31 21:45:00-06:00,2019-07-31 21:00:00-07:00,393,1100000.0
230433,meter-electric,,Utility Plant Elec Meter Plant Consumption,kWh,515097.04,Electric Consumption,2018-12-31 22:45:00-06:00,2017-12-31 22:00:00-07:00,394,725000.0
268297,meter1-electric,,MSKCC Electric Meter 1 BAIC_BM_CONED_EMTR1,kWh,2635648.0,Electric Consumption,2018-12-31 23:05:00-06:00,2018-03-31 20:55:00-07:00,420,236000.0
268299,meter2-electric,,MSKCC Electric Meter 2 BAIC_BM_CONED_EMTR2,kWh,2730434.0,Electric Consumption,2018-12-31 23:05:00-06:00,2018-03-31 20:55:00-07:00,420,236000.0
280350,elecMeterLoad-site,M.E.R. Meter Electric kWh Total,,kWh,46,Electric Consumption,2020-11-30 22:45:00-06:00,2019-12-31 22:00:00-07:00,423,119710.0
283601,Site-Sensor,480 W 42nd St - Signature Theatre Main KWh_Net,,kWh,1044883.88,Electric Consumption,2020-11-30 22:00:00-06:00,2017-12-02 13:00:00-07:00,426,80000.0
309969,site-Sensor,Total Electric Consumption value,,kWh,7999.15,Electric Consumption,2021-10-01 21:50:00-06:00,2020-10-01 21:05:00-07:00,440,268000.0
320452,elecMeterLoad-150,Rye Terrace: 150 Building B Meter-Electric kWh,,kWh,20,Electric Consumption,2021-05-13 11:45:00-06:00,2020-12-31 22:00:00-07:00,442,205000.0
