,id,building_id,last_updated,first_updated,device,network_device,objectId,name,description,units,tagged_units,raw_unit_id,value,type,point_type_id,measurement_id,datasource_hash,topic,state_text,equip_id
42,193887,107,1561950000000.0,1530417600000.0,,,,,18th Fl Liebert Water Cooled,kWh,,16,2.09,Electric Consumption,178,14,99256d994ef6e7a32dba27ecf5c0b853,nyserda+0000084869+elecPanel-floor18-liebertWaterCooled+18th Fl Liebert Water Cooled,,17315
43,193888,107,1561950000000.0,1530417600000.0,,,,,18th Fl Lighting,kWh,,16,1.24,Electric Consumption,178,14,6b8f9fd23cf31b0a05c363c82f4e8036,nyserda+0000084869+elecPanel-floor18-lighting+18th Fl Lighting,,17316
44,193889,107,1561950000000.0,1530417600000.0,,,,,18th Fl Main,kWh,,16,1.83,Electric Consumption,178,14,2c8db2b1591da18cddf663a1cecf9d51,nyserda+0000084869+elecPanel-floor18-main+18th Fl Main,,17317
45,193890,107,1561950000000.0,1530417600000.0,,,,,18th Fl RF-18-1,kWh,,16,0.00,Electric Consumption,178,14,6413d9e7134a2d2f50b05bae601a4f58,nyserda+0000084869+elecPanel-floor18-rf18-1+18th Fl RF-18-1,,17318
46,193891,107,1561950000000.0,1530417600000.0,,,,,18th Fl UPS IT Room,kWh,,16,8.97,Electric Consumption,178,14,13043c292da1ec30d915c1bea2fffbdd,nyserda+0000084869+elecPanel-floor18-upsITRoom+18th Fl UPS IT Room,,17319
47,193892,107,1561950000000.0,1530417600000.0,,,,,18th Fl Water Dispenser,kWh,,16,0.02,Electric Consumption,178,14,55a4e6ef1d4d05e77bc18d1aa3deb45a,nyserda+0000084869+elecPanel-floor18-waterDispenser+18th Fl Water Dispenser,,17320
48,193895,108,1588651201000.0,1572580800000.0,,,,,Whole Building (AcquiLite),kWh,,16,11.0,Electric Consumption,178,14,cac1d22159813c3a54b53d66bf610909,nyserda+000086328+Site-Sensor+Whole Building (AcquiLite),,17323
49,194172,110,1535775300000.0,1535774400000.0,,,,,Selfhelp K1 Meters Exhaust Electrical Meter,kWh,,16,61290.0,Electric Consumption,178,14,93c8160466e9498f0f177095ba44ce2b,nyserda+0000089088+meter-electric+Selfhelp K1 Meters Exhaust Electrical Meter,,17362
50,194173,110,1541056500000.0,1535774400000.0,,,,,Selfhelp K1 Meters Gas Meter Dmarc,kWh,,16,8378.95,Electric Consumption,178,14,9f145d7f5a54c4d2a87795fae249d65b,nyserda+0000089088+meter-gas+Selfhelp K1 Meters Gas Meter Dmarc,,17363
51,194195,112,1552449300000.0,1505188800000.0,,,,Total Base Building Consumption_value,Total Base Building Consumption_value,,kwh,16,4665.15,Electric Consumption,178,14,08c4b70ea92b104a447dd9033717d4d7,nyserda+0000092894+Site-Virtual+Total Base Building Consumption_value,,30558
52,194197,112,1597695300000.0,1552449600000.0,,,,Electric Total Consumption_value,Electric Total Consumption_value,,kwh,16,5148.13,Electric Consumption,178,14,8952923d3b9d944f9d840671e1716988,nyserda+0000092894+Site-Virtual+Electric Total Consumption_value,,30558
53,194198,112,1597695379000.0,1505188800000.0,,,,Base Building ConEd #6653420_value,Base Building ConEd #6653420_value,kWh,kwh,16,641.0,Electric Consumption,178,14,ebec9c7a102afd1186e921d4c7fdbefb,nyserda+0000092894+meter6653420+Base Building ConEd #6653420_value,,30551
54,194199,112,1597695379000.0,1505188800000.0,,,,Base Building ConEd  #7860027_value,Base Building ConEd  #7860027_value,kWh,kwh,16,2665.0,Electric Consumption,178,14,2808fc14e0e656b742a3c16788bf9b77,nyserda+0000092894+meter7860027+Base Building ConEd  #7860027_value,,30555
55,194200,112,1597695379000.0,1505188800000.0,,,,Base Building ConEd #8094859_value,Base Building ConEd #8094859_value,kWh,kwh,16,1856.75,Electric Consumption,178,14,e8295b7cdff6bb862e28a15ab8c6e4f2,nyserda+0000092894+meter8094859+Base Building ConEd #8094859_value,,30557
56,194260,115,1585627200000.0,1554091200000.0,,,,,demand_peak,kWh,,16,2592.0,Electric Consumption,178,14,47dd5e4f827131edf490cc2ee5cedced,nyserda+0000130853+Site-Sensor+demand_peak,,17385
57,197084,120,1543639500000.0,1535774400000.0,,,,,1700 Broadway - Base Bldg Steam Meters Con Ed Steam Meter 1,kWh,,16,0,Electric Consumption,178,14,29e72569443f0dc0561b7a8c41b00c6d,nyserda+0000075506+meter1-steam+1700 Broadway - Base Bldg Steam Meters Con Ed Steam Meter 1,,17786
58,197085,120,1543639500000.0,1535774400000.0,,,,,1700 Broadway - Base Bldg Steam Meters Con Ed Steam Meter 2,kWh,,16,0,Electric Consumption,178,14,4c24e88d6292b8aad95e7bedf14bf981,nyserda+0000075506+meter2-steam+1700 Broadway - Base Bldg Steam Meters Con Ed Steam Meter 2,,17787
59,197086,120,1543639500000.0,1535774400000.0,,,,,1700 Broadway - Base Bldg Steam Meters Con Ed Steam Meter 3,kWh,,16,0,Electric Consumption,178,14,bf528336b3caefb1b475a7431f1491f6,nyserda+0000075506+meter3-steam+1700 Broadway - Base Bldg Steam Meters Con Ed Steam Meter 3,,17788
60,197088,121,1527824700000.0,1512104400000.0,,,,CurrentDemand_Building_value,CurrentDemand_Building_value,kWh,kwh,16,258.87,Electric Consumption,178,14,9eea8a5021c6ad101bd2bd0404a10d58,nyserda+0000077439+Site-Sensor+CurrentDemand_Building_value,,32301
61,197125,122,1570021200000.0,1511888400000.0,,,,,Main Power,kWh,,16,12378.0,Electric Consumption,178,14,ff4921cfed9f6df3ed4b05efeff857e7,nyserda+0000079790+Site-Sensor+Main Power,,17799
62,197130,122,1570021200000.0,1511888400000.0,,,,,Mug Froster 1,kWh,,16,0.0,Electric Consumption,178,14,c99a9c6cca5cc6b3e67347e983e1cda8,nyserda+0000079790+meter1-mugFroster+Mug Froster 1,,17800
63,197131,122,1570021200000.0,1511888400000.0,,,,,Refrigerated Drawers Left,kWh,,16,53.0,Electric Consumption,178,14,07f0d97cf54e84b2eda3926682c95702,nyserda+0000079790+meter4-refrigeratedDrawers+Refrigerated Drawers Left,,17801
64,197132,122,1570021200000.0,1511888400000.0,,,,,Refrigerated Drawers Right,kWh,,16,57.0,Electric Consumption,178,14,9691d7240324f7b810e260c2d843739c,nyserda+0000079790+meter4-refrigeratedDrawers+Refrigerated Drawers Right,,17801
65,197133,122,1570021200000.0,1511888400000.0,,,,,Walk In Cooler Meat,kWh,,16,1228.0,Electric Consumption,178,14,349063f2c9bdc8b5c770d836b606a7da,nyserda+0000079790+meter5-walkInCooler-meat+Walk In Cooler Meat,,17802
66,197134,122,1570021200000.0,1511888400000.0,,,,,Walk In Cooler Produce,kWh,,16,1177.0,Electric Consumption,178,14,6778c7fcbe5238189f0dbb2f5b4c617d,nyserda+0000079790+meter6-walkInCooler-produce+Walk In Cooler Produce,,17803
67,197135,122,1570021200000.0,1511888400000.0,,,,,Walk In Freezer,kWh,,16,1118.0,Electric Consumption,178,14,a96c67c29575020637c97724606297d1,nyserda+0000079790+meter7-walkinFreezer+Walk In Freezer,,17804
68,197136,122,1570021200000.0,1511888400000.0,,,,,Cooler / Freezer Combo,kWh,,16,0.0,Electric Consumption,178,14,82acd5355fbe7674c619a1bfcc3ba874,nyserda+0000079790+meter8-cooler-freezer+Cooler / Freezer Combo,,17805
69,197192,123,1537070400000.0,1505448900000.0,,,,8479295 (kWh),8479295 (kWh),kWh,kwh,16,19.68,Electric Consumption,178,14,2ce330d10179c048b7e63762ccd9b1c6,nyserda+0000082176+meter8479295+8479295 (kWh),,32349
70,197193,123,1537070400000.0,1505448900000.0,,,,8479296 (kWh),8479296 (kWh),kWh,kwh,16,15.36,Electric Consumption,178,14,6fa9a4e68e4acfcd34329ff6dbae5b29,nyserda+0000082176+meter8479296+8479296 (kWh),,32350
71,197194,123,1537070400000.0,1505448900000.0,,,,8939311 (kWh),8939311 (kWh),kWh,kwh,16,33.36,Electric Consumption,178,14,52b0d5f32f85808d31ae95bf2dfb6597,nyserda+0000082176+meter8939311+8939311 (kWh),,32351
72,197200,125,1578632400000.0,1547096400000.0,,,,,Whole Building (AcquiLite)_kWh,kWh,,16,0.1,Electric Consumption,178,14,50da5a916742330a81b66b535db4aeca,nyserda+0000086373+meter-site+Whole Building (AcquiLite)_kWh,,17851
73,197309,127,1546740000000.0,1530417600000.0,,,,Exhaust Fans kWh,Exhaust Fans kWh,kWh,kwh,16,0.08,Electric Consumption,178,14,7458465a52d299980bf5ade2cd02ce54,nyserda+0000089089+meter-electric+Exhaust Fans kWh,,17867
74,197310,127,1546740000000.0,1530417600000.0,,,,Main Electric Meter kWh,Main Electric Meter kWh,kWh,kwh,16,1667704.0,Electric Consumption,178,14,0c72869d6decaa1e93ddf07ef754fccb,nyserda+0000089089+meter-electric+Main Electric Meter kWh,,17867
75,197311,127,1547613900000.0,1537974900000.0,,,,Selfhelp K2 Meters Gas Meter Dmarc,Selfhelp K2 Meters Gas Meter Dmarc,kWh,kwh,16,0.0,Electric Consumption,178,14,5c7a8de69282f105d8fd54e086faec14,nyserda+0000089089+meter-gas+Selfhelp K2 Meters Gas Meter Dmarc,,17868
76,197411,129,1570161378000.0,1568307473000.0,,,,,ATS-10-1 N KW Hours Net_value,kWh,,16,0.0,Electric Consumption,178,14,32daaf794dc92057f7dd7e25d6ea71c0,nyserda+0000103083+meter-10-1+ATS-10-1 N KW Hours Net_value,,17877
77,197412,129,1570161377000.0,1568307473000.0,,,,,ATS-10-1 E KW Hours Net_value,kWh,,16,1446.0,Electric Consumption,178,14,5c162cc8dcec6a480da647d53d090dcc,nyserda+0000103083+meter-10-1+ATS-10-1 E KW Hours Net_value,,17877
78,197413,129,1570161378000.0,1568307473000.0,,,,,ATS-11-1 N KW Hours Net_value,kWh,,16,1486.0,Electric Consumption,178,14,fbaf0176392421ee085421db66ebeb41,nyserda+0000103083+meter-11-1+ATS-11-1 N KW Hours Net_value,,17878
79,197414,129,1570161379000.0,1568307473000.0,,,,,ATS-11-1 E KW Hours Net_value,kWh,,16,0.0,Electric Consumption,178,14,a643c6aee24de7313dd398007b8c5df5,nyserda+0000103083+meter-11-1+ATS-11-1 E KW Hours Net_value,,17878
80,197415,129,1570161378000.0,1554264607000.0,,,,,Chiller 5 ATS-16-11 E KW Hours Net_value,kWh,,16,0.0,Electric Consumption,178,14,4096ad6e9bc4634d6b4e4728ae6debd0,nyserda+0000103083+meter-16-11E-chiller5+Chiller 5 ATS-16-11 E KW Hours Net_value,,17879
81,197416,129,1570161379000.0,1554264616000.0,,,,,Chiller 5 ATS-16-11 N KW Hours Net_value,kWh,,16,4.0,Electric Consumption,178,14,d50e0a3cfc8db68f4ef1ea7d4f50aeaa,nyserda+0000103083+meter-16-11N-chiller5+Chiller 5 ATS-16-11 N KW Hours Net_value,,17880
82,197417,129,1570161379000.0,1554264619000.0,,,,,Elevators ATS-16-3 E KW Hours Net_value,kWh,,16,0.0,Electric Consumption,178,14,e64b43cc65d8181e2a3d562664f4293a,nyserda+0000103083+meter-16-3E-elevators+Elevators ATS-16-3 E KW Hours Net_value,,17881
83,197418,129,1570161378000.0,1554264616000.0,,,,,Elevators ATS-16-3 N KW Hours Net_value,kWh,,16,8610.0,Electric Consumption,178,14,5f57c4803bb2515237ddd085fffc94e8,nyserda+0000103083+meter-16-3N-elevators+Elevators ATS-16-3 N KW Hours Net_value,,17882
84,197419,129,1570161377000.0,1554264607000.0,,,,,Elevators ATS-16-6 E KW Hours Net_value,kWh,,16,0.0,Electric Consumption,178,14,f5084352f86190f3a7a3789bffa4a5d2,nyserda+0000103083+meter-16-6E-elevators+Elevators ATS-16-6 E KW Hours Net_value,,17883
85,197420,129,1570161378000.0,1554264616000.0,,,,,Elevators ATS-16-6 N KW Hours Net_value,kWh,,16,9300.0,Electric Consumption,178,14,b10fe41d9ee48bbec87353cc4085b969,nyserda+0000103083+meter-16-6N-elevators+Elevators ATS-16-6 N KW Hours Net_value,,17884
86,197421,129,1570161380000.0,1554264607000.0,,,,,Chiller 1 ATS-16-7 E KW Hours Net_value,kWh,,16,0.0,Electric Consumption,178,14,ece43ab997ca4676834746d998b8f28d,nyserda+0000103083+meter-16-7E-chiller1+Chiller 1 ATS-16-7 E KW Hours Net_value,,17885
87,197422,129,1570161379000.0,1554264613000.0,,,,,Chiller 1 ATS-16-7 N KW Hours Net_value,kWh,,16,6479.0,Electric Consumption,178,14,243accf88baf90ea5776af09ef815f0c,nyserda+0000103083+meter-16-7N-chiller1+Chiller 1 ATS-16-7 N KW Hours Net_value,,17886
88,197423,129,1570161379000.0,1554264607000.0,,,,,Chiller 2 ATS-16-8 E KW Hours Net_value,kWh,,16,0.0,Electric Consumption,178,14,065646b8075c35debb806801bf60e108,nyserda+0000103083+meter-16-8E-chiller2+Chiller 2 ATS-16-8 E KW Hours Net_value,,17887
89,197424,129,1570161378000.0,1554264607000.0,,,,,Chiller 2 ATS-16-8 N KW Hours Net_value,kWh,,16,0.0,Electric Consumption,178,14,de603f8ff7115fa40e6b08f51eaf96aa,nyserda+0000103083+meter-16-8N-chiller2+Chiller 2 ATS-16-8 N KW Hours Net_value,,17888
90,197425,129,1570161379000.0,1554264607000.0,,,,,Chiller 3 ATS-16-9 E KW Hours Net_value,kWh,,16,0.0,Electric Consumption,178,14,7ac6fc1791d156d4bb55694f248d82b9,nyserda+0000103083+meter-16-9E-chiller3+Chiller 3 ATS-16-9 E KW Hours Net_value,,17889
91,197426,129,1570161377000.0,1554264607000.0,,,,,Chiller 3 ATS-16-9 N KW Hours Net_value,kWh,,16,594.0,Electric Consumption,178,14,72fa4cda3162266c511996892ad05a45,nyserda+0000103083+meter-16-9N-chiller3+Chiller 3 ATS-16-9 N KW Hours Net_value,,17890
92,197427,129,1570161379000.0,1568307473000.0,,,,,ATS-3-1 E KW Hours Net_value,kWh,,16,0.0,Electric Consumption,178,14,b34693fceab46da3d5a2697348156bf3,nyserda+0000103083+meter-3-1E+ATS-3-1 E KW Hours Net_value,,17891
93,197428,129,1570161377000.0,1568307473000.0,,,,,ATS-3-1 N KW Hours Net_value,kWh,,16,2101.0,Electric Consumption,178,14,8cfb9a1ac7871c22df6c35b4dd50280e,nyserda+0000103083+meter-3-1N+ATS-3-1 N KW Hours Net_value,,17892
94,197429,129,1570161378000.0,1568307473000.0,,,,,ATS-4-1 E KW Hours Net_value,kWh,,16,1864.0,Electric Consumption,178,14,03a41bff35922c6bbcd275b5b4b35fa1,nyserda+0000103083+meter-4-1E+ATS-4-1 E KW Hours Net_value,,17893
95,197430,129,1570161379000.0,1568307473000.0,,,,,ATS-4-1 N KW Hours Net_value,kWh,,16,0.0,Electric Consumption,178,14,2330c8c23ce2680f3c7e448c4934b107,nyserda+0000103083+meter-4-1N+ATS-4-1 N KW Hours Net_value,,17894
96,197431,129,1570161378000.0,1568307473000.0,,,,,ATS-5-1 E KW Hours Net_value,kWh,,16,0.0,Electric Consumption,178,14,1dfe70fae8ff3a6668e77f200e68403d,nyserda+0000103083+meter-5-1E+ATS-5-1 E KW Hours Net_value,,17895
97,197432,129,1570161377000.0,1568307473000.0,,,,,ATS-5-1 N KW Hours Net_value,kWh,,16,2112.0,Electric Consumption,178,14,e82a213f25368810b66a0914aeebd1e4,nyserda+0000103083+meter-5-1N+ATS-5-1 N KW Hours Net_value,,17896
98,197433,129,1570161379000.0,1568307473000.0,,,,,ATS-6-1 E KW Hours Net_value,kWh,,16,1737.0,Electric Consumption,178,14,cb2328ee10d26502f8d84adb988a250b,nyserda+0000103083+meter-6-1E+ATS-6-1 E KW Hours Net_value,,17897
99,197434,129,1570161378000.0,1568307473000.0,,,,,ATS-6-1 N KW Hours Net_value,kWh,,16,0.0,Electric Consumption,178,14,213537cb3b6c1c5abb5a370a5f211a18,nyserda+0000103083+meter-6-1N+ATS-6-1 N KW Hours Net_value,,17898
100,197435,129,1570161380000.0,1568307473000.0,,,,,ATS-7-1 E KW Hours Net_value,kWh,,16,0.0,Electric Consumption,178,14,f795bc7997b6e8266f1135fbb2cd5e23,nyserda+0000103083+meter-7-1E+ATS-7-1 E KW Hours Net_value,,17899
101,197436,129,1570161379000.0,1568307473000.0,,,,,ATS-7-1 N KW Hours Net_value,kWh,,16,2036.0,Electric Consumption,178,14,3122e777c4e34ea77ea8fcc6e7ef74fa,nyserda+0000103083+meter-7-1N+ATS-7-1 N KW Hours Net_value,,17900
102,197437,129,1570161379000.0,1568307473000.0,,,,,ATS-8-1 E KW Hours Net_value,kWh,,16,1869.0,Electric Consumption,178,14,8fa7963440a3bb34905e29e32c1b1775,nyserda+0000103083+meter-8-1E+ATS-8-1 E KW Hours Net_value,,17901
103,197438,129,1570161380000.0,1568307473000.0,,,,,ATS-8-1 N KW Hours Net_value,kWh,,16,0.0,Electric Consumption,178,14,0f4b4f512bb891e036cc02da8224de20,nyserda+0000103083+meter-8-1N+ATS-8-1 N KW Hours Net_value,,17902
104,197439,129,1570161380000.0,1568307473000.0,,,,,ATS-9-1 E KW Hours Net_value,kWh,,16,0.0,Electric Consumption,178,14,40b61672f5e58fa7cbb804189a88a5fd,nyserda+0000103083+meter-9-1E+ATS-9-1 E KW Hours Net_value,,17903
105,197440,129,1570161377000.0,1568307473000.0,,,,,ATS-9-1 N KW Hours Net_value,kWh,,16,1586.0,Electric Consumption,178,14,6e5f04442dd5381bf013cfbd06f146f0,nyserda+0000103083+meter-9-1N+ATS-9-1 N KW Hours Net_value,,17904
